عبدالخالق الحوثي
عصام علوش
محمد محمد
سيفي عماري
هدى عماش
محمد أنوري
محسن الفضلي
عبد الباقي شاه
حسن عويس
محمد ایوب
طارق عزيز
سندس عبد الغفور
سعيد باهاجى
ایوب بشیر
محمد بلكلام
مختار بلمختار
سيف الله بنحسين
 ساهر برهان
بلال مروان
رمزي الشيبة
المختار بوشوشة
فيصل بوغانمي
حمادي بويحي
عامر چوہدری
ياسين شكوري
أحمد دغداغ
شهاب الدين دلاور
فلسيانو سمبوريو ديلوس رييس الإبن 
كمال جرمان
يحيى جوادي
دوست محمد
نیک محمد
عبد المالك دروكدال
عبد الله الالفي
راضي العياشي
منير المتصدق
عبدالقادر السيد
محمد علمی
سامي الصيد
موسى السعدي
زكريا الصبار
فيض
محمد فاتح خان
صالح قاسمي
نايف غالب
فاضل غريب
عارف الله محمد
عمر قدير
محمد غلام نبی
بخت گل
رستم حبیب الله
مزبان خضر هادي
گل احمد حكيمى
سالم حمدان
عادل حمدي
مكي مصطفي
دین حنیف
جلال الدين حقانى
خلیل حقانی
محمد حقانی
نصیر الدین حقانی
سيد حقانی
سراج الدين حقانى
يحيى حقانی
علي التكريتي
أيمن التكريتي
بشار التكريتي
إبراهيم التكريتي
خولة التكريتي
محمد التكريتي
نور التكريتي
عمر التكريتي
سجا التكريتي
سعد التكريتي
ثريا التكريتي
ياسر التكريتي
هدايت الله
نجیب الله هدايت الله
رائد حجازي
عبدالرحمان هوتک
جمال حسني
محمد حامد
عبد التواب حويش
مصطفى ابراهيم
جان اکرام
كُل آغا اسحاقزی
مالک اسحاق
قدرت الله جمال
سعيدالله جان
خليل جراية
رحمت الله کاکا زاده
المهدي كمون
عبدالروف خادم
خيرالله خواه
مصطفي خان
عزت الله خان سيد
خيرالله نظر
محمد خدايرحيم
محمد خدايداد
محمد كشلاف
رشيد كاظم
عبد القادر لاغوب
محمد لحبوس
محمد لكحل
عبد الرزاق آخوند
جمال لونيسي
طه معروف
ضیاالرحمان مدنی
أصيل طبـره
عادل مهدي
عبداللطيف منصور 
محمد الله مطيع
الله داد متین
مطيع الله
عبد القدوس مظهری
فضل مظلوم
ابراهيم خليل
محمد عوض
عبدالمنان اسحاق
عبد الکبیر جان
عبد الله ﻛﺮﻴﻡ
محمد مسعود
محمد يعقوب
محمد محمدی
مازن محمد
محمد مصطفى
امیر خان متقی
عبدالحی مطمئن
جمال مصطفى
مبارك البذالي
الله داد محمد
نجيب الله جمعه
محمد محمدی گل
عبد الحكيم مراد
على بكري
الطيب نايل
حمد الله نعمانى
محمد نورانی
عبد البصیر نورزی
مالک نورزى
نور الله نوری
عبدالمنان نیازی
احمدشاه عبیدالله
عبدالجبار عمری
محمد عمری
عبد الرحمن العامر
حماده الخيري
عبد الرحمن سليم
علي الحرزي
طارق الحرزي
مصعب عمر 
شیر پادشاه خان
نورالدین قاسم
امین الله قدوس
عبدالسلام مردان قل
فضل ربيع
فضل رحيم
یار رحیمی
محمد رحمانی
عبدالحليم رمادنا
حبیب الله رشاد
الأزهر روين
محمد الأهدل
نسيم صحراوي
أحمد صالح
علي صالح
نسيم السعدي
عبدالحی سالک
نور ثاقب
سيف العدل
سعدالدين سيد
عبدالولی صدیقی
عبد الواحد شفيق
اختر شاه محمد
رحمت الله شاه نواز
سميرة الشاهبندر
سيد شهيد خيل
شمس الدین
أبو بكر الشكوى
حمید الله محمد
ثروت شحاته
عبدالغفار شینواری
رودي سليــوة
حمد الله سنانی
عبدالرقیب تخاری
إبراهيم تنتوش
ساجدة طلفاح
قاري توخى
نایف الحبابي
عمر عثمان
عبدالجليل محمد
عتیق الله ولی محمد
ولی جان
نذیر الله ولى الله
عبد الحق وثيق
احمد جان آخوندزاده وزیر
محمد جواد وزیری
عبیدالله آخوند
عبد الرحمن ياسين
هاني يوسف
محمد ځدران
عبدالرحمان زاهد
محمد زاهد
عبد الروف ذاکر
عماد زرقاوي
مرعي زغبي
محمد زبيدي
احمد الفيتوري
فیض الله خان نورزی
سعید جان عبد السلام
